No.,Date,Time,P.Time,AV Pyrometer,AV TC1,AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
171,02/10/2012,14:27:59,00:02:50,400,25,73,65,5.0,0.000,17.040,-0.310,0.00,0.00,-634.92,3.44,5.26,18.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
172,02/10/2012,14:28:00,00:02:51,400,25,73,65,4.8,0.000,17.040,-0.310,0.00,0.00,-634.92,3.44,5.26,18.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
173,02/10/2012,14:28:01,00:02:52,400,25,74,66,4.8,0.000,17.040,-0.310,0.00,0.00,-634.92,3.45,5.26,18.1,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
174,02/10/2012,14:28:02,00:02:53,400,25,75,66,4.8,0.000,17.030,-0.320,0.00,0.00,-634.92,3.46,5.26,18.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
175,02/10/2012,14:28:03,00:02:54,400,25,75,67,4.9,0.000,17.030,-0.320,0.00,0.00,-634.92,3.46,5.26,18.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
176,02/10/2012,14:28:04,00:02:55,400,26,76,67,5.3,0.000,17.030,-0.320,0.00,0.00,-634.92,3.47,5.25,18.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
177,02/10/2012,14:28:05,00:02:56,400,26,77,68,5.4,0.000,17.020,-0.330,0.00,0.00,-634.92,3.47,5.26,18.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
178,02/10/2012,14:28:06,00:02:57,400,26,77,68,5.1,0.000,17.020,-0.330,0.00,0.00,-634.92,3.48,5.25,18.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
179,02/10/2012,14:28:07,00:02:58,400,26,77,68,5.2,0.000,17.020,-0.330,0.00,0.00,-634.92,3.48,5.24,18.2,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
180,02/10/2012,14:28:08,00:02:59,400,26,78,69,5.6,0.000,17.010,-0.340,0.00,0.00,-634.92,3.48,5.25,18.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
181,02/10/2012,14:28:09,00:03:00,400,26,78,69,5.2,0.000,17.010,-0.340,0.00,0.00,-634.92,3.49,5.25,18.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
182,02/10/2012,14:28:10,00:03:01,400,26,79,69,5.6,0.000,17.010,-0.340,0.00,0.00,-634.92,3.49,5.25,18.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
183,02/10/2012,14:28:11,00:03:02,400,26,80,70,5.3,0.000,17.000,-0.350,0.00,0.00,-634.92,3.49,5.24,18.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
184,02/10/2012,14:28:12,00:03:03,400,26,80,70,4.9,0.000,17.000,-0.350,0.00,0.00,-634.92,3.49,5.24,18.3,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
185,02/10/2012,14:28:13,00:03:04,400,27,80,70,5.2,0.000,17.000,-0.350,0.00,0.00,-634.92,3.51,5.24,18.4,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
186,02/10/2012,14:28:14,00:03:05,400,27,81,71,5.0,0.000,17.000,-0.350,0.00,0.00,-634.92,3.51,5.24,18.4,100.0,450,450,400,5,5,12,20,1,100,12,2,1,1,45
